system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
1,2,0.5136934634226774,0.4668101901686401,-0.4223584012493295,4.119710998673201,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-02,21.05,26.3,63.07,0.8660254037844386,0.5000000000000001,0.5533826867478319,-0.4539658360978605,-0.410478899020588,2.0,16.4,36.6333333333333,18.75,60.94,121.88,0
2,3,0.5358267372783626,0.3904761904761905,-0.4544524364049186,5.195833727196612,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-03,22.45,25.9,67.03,1.0,6.123233995736766e-17,0.5136934634226774,-0.4223584012493295,-0.4539658360978605,26.3,2.0,14.899999999999963,21.05,63.07,1658.741,0
3,4,0.5374630737461683,0.2917857142857142,-0.4476868352551255,60.6466641041503,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-04,22.63,97.8,80.6,0.8660254037844387,-0.4999999999999998,0.5358267372783626,-0.4544524364049186,-0.4223584012493295,25.9,26.3,18.06666666666663,22.45,67.03,1736.077,0
4,5,0.5121011332983753,0.1929140832595217,-0.4240512928147872,128.56276436657734,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-05,22.15,129.5,86.68,0.49999999999999994,-0.8660254037844387,0.5374630737461683,-0.4476868352551255,-0.4544524364049186,97.8,25.9,49.999999999999964,22.63,80.6,7882.679999999999,0
5,6,0.1866116611592132,0.0958333333333333,-0.1734136746498081,406.9044801516556,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-06,20.72,311.2,93.0,1.2246467991473532e-16,-1.0,0.5121011332983753,-0.4240512928147872,-0.4476868352551255,129.5,97.8,84.39999999999996,22.15,86.68,11225.060000000001,0
6,7,0.0202130912972796,0.0818904342889582,-0.0328161775468909,503.478952316184,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-07,19.32,690.6,96.68,-0.4999999999999997,-0.8660254037844388,0.1866116611592132,-0.1734136746498081,-0.4240512928147872,311.2,129.5,179.49999999999997,20.72,93.0,28941.6,1
7,8,0.0424094303290255,0.1374545454545454,-0.0521158507745922,1041.8887955037346,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-08,19.15,561.8,96.77,-0.8660254037844384,-0.5000000000000004,0.0202130912972796,-0.0328161775468909,-0.1734136746498081,690.6,311.2,377.0999999999999,19.32,96.68,66767.20800000001,1
8,9,0.0777793290229155,0.2432900432900432,-0.0813139028784396,214.1224788191097,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-09,19.65,434.3,94.17,-1.0,-1.8369701987210297e-16,0.0424094303290255,-0.0521158507745922,-0.0328161775468909,561.8,690.6,521.1999999999999,19.15,96.77,54365.38599999999,1
9,10,0.2949670214731346,0.2237707073363134,-0.2502835597639104,295.375774993637,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-10,19.69,512.6,93.0,-0.8660254037844386,0.5000000000000001,0.0777793290229155,-0.0813139028784396,-0.0521158507745922,434.3,561.8,562.2333333333332,19.65,94.17,40898.031,0
10,11,0.5199787817293553,0.4437367303609342,-0.4132940007587432,70.22675338035602,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-11,20.23,100.1,83.77,-0.5000000000000004,0.8660254037844384,0.2949670214731346,-0.2502835597639104,-0.0813139028784396,512.6,434.3,502.8999999999999,19.69,93.0,47671.8,0
11,12,0.523943633620256,0.3920668058455114,-0.4184142811538328,45.643214161296015,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-12,19.77,54.1,79.94,-2.4492935982947064e-16,1.0,0.5199787817293553,-0.4132940007587432,-0.2502835597639104,100.1,512.6,348.99999999999994,20.23,83.77,8385.376999999999,0
0,1,0.6049679431065331,0.5143866733972741,-0.4858891634607624,4.677958975147611,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01,20.2,4.3,72.9,0.49999999999999994,0.8660254037844387,0.523943633620256,-0.4184142811538328,-0.4132940007587432,54.1,100.1,222.26666666666665,19.77,79.94,4324.754,0
1,2,0.5362432374629567,0.3725202057310801,-0.433099920668302,5.760003438547259,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-02,21.02,7.3,66.9,0.8660254037844386,0.5000000000000001,0.6049679431065331,-0.4858891634607624,-0.4184142811538328,4.3,54.1,52.83333333333326,20.2,72.9,313.47,0
2,3,0.5337237090324153,0.3241330502476999,-0.4468616755172359,9.148303080167818,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-03,22.13,34.5,73.16,1.0,6.123233995736766e-17,0.5362432374629567,-0.433099920668302,-0.4858891634607624,7.3,4.3,21.899999999999924,21.02,66.9,488.37,0
3,4,0.5014495793318338,0.2668203730874031,-0.4158616002133076,75.15369509873095,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-04,22.45,120.6,82.43,0.8660254037844387,-0.4999999999999998,0.5337237090324153,-0.4468616755172359,-0.433099920668302,34.5,7.3,15.36666666666659,22.13,73.16,2524.02,0
4,5,0.388576465780181,0.1030126336248785,-0.3295141974747858,194.2589772182984,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-05,22.25,144.7,88.9,0.49999999999999994,-0.8660254037844387,0.5014495793318338,-0.4158616002133076,-0.4468616755172359,120.6,34.5,54.13333333333326,22.45,82.43,9941.058,0
5,6,0.2038934985000005,0.3001255755546254,-0.1852481158958106,583.8109798911364,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-06,20.13,299.2,94.27,1.2246467991473532e-16,-1.0,0.388576465780181,-0.3295141974747858,-0.4158616002133076,144.7,120.6,99.93333333333324,22.25,88.9,12863.83,0
6,7,0.0754520854394597,0.0350052485053169,-0.0815567097607564,866.0660925242806,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-07,19.68,438.8,94.55,-0.4999999999999997,-0.8660254037844388,0.2038934985000005,-0.1852481158958106,-0.3295141974747858,299.2,144.7,188.1666666666666,20.13,94.27,28205.584,1
7,8,0.0282406015312438,0.0274267802918993,-0.0416958841648195,716.6961503267927,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-08,19.4,594.8,94.42,-0.8660254037844384,-0.5000000000000004,0.0754520854394597,-0.0815567097607564,-0.1852481158958106,438.8,299.2,294.2333333333333,19.68,94.55,41488.54,1
8,9,0.1366961589214732,0.3417976622329706,-0.130720362941661,434.8865785812668,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-09,19.49,544.2,94.57,-1.0,-1.8369701987210297e-16,0.0282406015312438,-0.0416958841648195,-0.0815567097607564,594.8,438.8,444.2666666666666,19.4,94.42,56161.015999999996,1
9,10,0.2415935625795346,0.3438556933483653,-0.2093702680441678,169.61643466587265,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-10,19.52,201.9,89.9,-0.8660254037844386,0.5000000000000001,0.1366961589214732,-0.130720362941661,-0.0416958841648195,544.2,594.8,525.9333333333333,19.49,94.57,51464.994,0
10,11,0.5003326237507334,0.4610136452241715,-0.4017690144260566,48.08405003556953,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-11,20.05,74.0,79.57,-0.5000000000000004,0.8660254037844384,0.2415935625795346,-0.2093702680441678,-0.130720362941661,201.9,544.2,446.96666666666664,19.52,89.9,18150.81,0
