date,temperature_C,dewpoint_C,relative_humidity_pct,wind_speed_ms,rainfall_mm,runoff_mm,soil_moisture_m3m3,surface_pressure_hPa,evaporation_mm,doy_sin,doy_cos,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_roll3,rainfall_roll7,runoff_lag1,runoff_roll3,soil_moisture_lag1,temperature_lag1,humidity_lag1,wind_speed_lag1,rain_soil_interaction_lag1,flood_risk
2018-01-08,19.895169826659515,11.125180864998924,57.06619255071409,1.4308450128200885,0.0017116101389547,0.0060755600233151,0.2599711002977359,918.5751381318156,2.0347512782655324,0.13718540405660057,0.9905453876091833,0.5613462123843626,0.1396234737916846,0.0605037852932857,0.2538244904897776,0.12132007393548372,0.1023411575882085,0.044719135359329636,0.2608601879669726,20.25782061394916,69.32661292973843,0.571133496075752,0.14643287847713293,0
2018-01-09,20.808618254899123,12.914024526759668,60.62694351272493,1.1686013623134963,0.0033995040091677,5.192142132309562e-05,0.2579978471546397,919.9374625334108,1.902440754817555,0.1542040475626894,0.988039023376751,0.0017116101389547,0.5613462123843626,0.1396234737916846,0.23422709877166728,0.12119800207166144,0.0060755600233151,0.0428243839222128,0.2599711002977359,19.895169826659515,57.06619255071409,1.4308450128200885,0.000444969171104814,0
2018-01-10,21.2925781198868,15.907557254689744,71.40267405654404,2.085088517968177,0.1610200355422471,0.0112046978990868,0.2572678119377977,920.5829373208676,1.2390410380790151,0.17117705961019986,0.985240282501282,0.0033995040091677,0.0017116101389547,0.5613462123843626,0.18881910884416164,0.11946321483583287,5.192142132309562e-05,0.036156213010948894,0.2579978471546397,20.808618254899123,60.62694351272493,1.1686013623134963,0.000877064715758833,0
2018-01-11,22.79305170685318,15.912114511267122,65.24603920608543,1.1271786375852768,0.0080874481231768,0.001749160934228,0.2563465765399144,920.1766367145492,1.956346345204151,0.18809941761179758,0.9821499931752291,0.1610200355422471,0.0033995040091677,0.0017116101389547,0.05537704989678983,0.13270272420126764,0.0112046978990868,0.005777393114574998,0.2572678119377977,21.2925781198868,71.40267405654404,2.085088517968177,0.04142527222210032,0
2018-01-12,22.58212840278089,16.791578483427717,69.83634971296222,1.27056536600641,0.2476786073080604,0.0295884167252494,0.256006557161176,919.9325770841884,1.7271315721233311,0.20496611396949532,0.9787690698649216,0.0080874481231768,0.1610200355422471,0.0033995040091677,0.05750232922486386,0.13367029561183988,0.001749160934228,0.004335260084879298,0.2563465765399144,22.79305170685318,65.24603920608543,1.1271786375852768,0.0020731896393205284,0
2018-01-13,22.964534723743608,14.321745449601972,58.3869362800996,1.1620127822062245,0.0064188442845398,0.0022768455793923,0.2548278276467143,919.2074807410486,1.981849066963776,0.22177215755648186,0.975098513039961,0.2476786073080604,0.0080874481231768,0.1610200355422471,0.13892869699116142,0.16040955589966482,0.0295884167252494,0.0141807585195214,0.256006557161176,22.58212840278089,69.83634971296222,1.27056536600641,0.06340734753941142,0
2018-01-14,22.111140984452717,8.953734317168179,43.0624843325321,2.0166826522564087,0.0,7.341556085366122e-05,0.2530122580339443,919.7886285988072,2.105351898234167,0.23851257519407648,0.9711394088771653,0.0064188442845398,0.2476786073080604,0.0080874481231768,0.08739496657192568,0.14138032311292986,0.0022768455793923,0.0112048077462899,0.2548278276467143,22.964534723743608,58.3869362800996,1.1620127822062245,0.0016357001450318053,0
2018-01-15,22.28676952664314,10.541703625189063,47.3683916364135,1.632920765462584,0.001716613667213,4.1590705007462335e-05,0.251271293245437,919.389054780554,2.024393582139054,0.2551824131233728,0.9668929289391521,0.0,0.0064188442845398,0.2476786073080604,0.08469915053086674,0.061188007058020924,7.341556085366122e-05,0.010646225955165121,0.2530122580339443,22.111140984452717,43.0624843325321,2.0166826522564087,0.0,0
2018-01-16,22.465409027391477,14.467775342914711,60.653253125511824,0.8073822803072536,0.0323862303366535,0.0025332909751726,0.249992078463273,918.5848684901832,1.759480326373685,0.2717767384711357,0.9623603298276545,0.001716613667213,0.0,0.0064188442845398,0.0027118193172509333,0.06118872184777211,4.1590705007462335e-05,0.0007972839484178079,0.251271293245437,22.28676952664314,47.3683916364135,1.632920765462584,0.00043133573616340273,0
2018-01-17,21.582784562283624,13.346966456755284,59.76897821071586,1.119266456225022,0.2752929352466817,0.0449104329221519,0.2506609244679381,918.6927687275934,1.7789296488442754,0.2882906407095177,0.9575429528116719,0.0323862303366535,0.001716613667213,0.0,0.0113676146679555,0.06532968275169866,0.0025332909751726,0.0008827657470112411,0.249992078463273,22.465409027391477,60.653253125511824,0.8073822803072536,0.008096301035450315,0
