system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm,year,.geo,year_month
0,1.0,0.4814608333615609,0.2574525745257452,-0.3777200793378241,4.669378301649447,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-1.0
1,2.0,0.5338328007378412,0.4136664217487142,-0.4490735818339548,6.414091284210813,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-2.0
2,3.0,0.4364197054341022,0.3025871766029246,-0.3654748295532759,33.77490323854315,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-3.0
3,4.0,0.4029918204314445,0.1768433179723502,-0.3342063462815173,99.69645703589276,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-4.0
4,5.0,0.3996647868947321,0.0854826823876197,-0.3362644645721531,353.4428574405455,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-5.0
5,6.0,0.0444817345420057,0.0548656284907024,-0.0552380384178028,847.522451425716,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-6.0
6,7.0,0.0056542520299515,0.0846733156930592,-0.0229805124072133,808.2678659743007,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-7.0
7,8.0,0.0167253425994276,0.0313146084413292,-0.0332923214139912,694.0480619701865,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-8.0
8,9.0,0.3755676508437143,0.5960334029227558,-0.3214683913477144,129.7878114112933,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-9.0
9,10.0,0.2956755979781755,0.3517191977077364,-0.2463522700986774,189.60169235696748,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-10.0
10,11.0,0.3264526027742118,0.2819383259911894,-0.2768249585947845,20.89769555156819,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-11.0
11,12.0,0.5178916825557879,0.3896894012167787,-0.410478899020588,32.000301889262076,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-12.0
0,1.0,0.5533826867478319,0.5115661736822147,-0.4539658360978605,4.593608167279308,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-1.0
1,2.0,0.5136934634226774,0.4668101901686401,-0.4223584012493295,4.119710998673201,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-2.0
2,3.0,0.5358267372783626,0.3904761904761905,-0.4544524364049186,5.195833727196612,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-3.0
3,4.0,0.5374630737461683,0.2917857142857142,-0.4476868352551255,60.6466641041503,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-4.0
4,5.0,0.5121011332983753,0.1929140832595217,-0.4240512928147872,128.56276436657734,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-5.0
5,6.0,0.1866116611592132,0.0958333333333333,-0.1734136746498081,406.90448015165555,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-6.0
6,7.0,0.0202130912972796,0.0818904342889582,-0.0328161775468909,503.478952316184,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-7.0
7,8.0,0.0424094303290255,0.1374545454545454,-0.0521158507745922,1041.8887955037346,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-8.0
8,9.0,0.0777793290229155,0.2432900432900432,-0.0813139028784396,214.1224788191097,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-9.0
9,10.0,0.2949670214731346,0.2237707073363134,-0.2502835597639104,295.375774993637,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-10.0
10,11.0,0.5199787817293553,0.4437367303609342,-0.4132940007587432,70.22675338035602,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-11.0
11,12.0,0.523943633620256,0.3920668058455114,-0.4184142811538328,45.643214161296015,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-12.0
