system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm,year,.geo
0,1.0,0.4814608333615609,0.25745257452574527,-0.37772007933782414,4.669378301649447,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,0.5338328007378412,0.4136664217487142,-0.4490735818339548,6.414091284210813,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,0.43641970543410225,0.3025871766029246,-0.3654748295532759,33.77490323854315,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,0.40299182043144455,0.17684331797235023,-0.3342063462815173,99.69645703589275,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,0.3996647868947321,0.08548268238761975,-0.33626446457215314,353.4428574405455,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,0.04448173454200578,0.05486562849070241,-0.0552380384178028,847.522451425716,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,0.005654252029951522,0.08467331569305923,-0.02298051240721333,808.2678659743007,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,0.016725342599427654,0.03131460844132923,-0.03329232141399129,694.0480619701865,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,0.3755676508437143,0.5960334029227558,-0.3214683913477144,129.7878114112933,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,0.2956755979781755,0.3517191977077364,-0.24635227009867744,189.60169235696748,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,0.3264526027742118,0.28193832599118945,-0.27682495859478456,20.89769555156819,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,0.5178916825557879,0.38968940121677875,-0.410478899020588,32.000301889262076,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
