date,temperature_c,rainfall_mm,humidity_percent
2018-06-13,19.9,9.0,95
2018-06-14,19.7,10.8,96
2018-06-15,20.1,12.6,94
2018-06-16,20.0,5.6,95
2018-06-17,19.9,3.5,94
2018-06-18,19.4,12.4,95
2018-06-19,19.5,15.7,95
2018-06-20,19.3,30.3,99
2018-06-21,18.7,72.5,99
2018-06-22,19.0,22.3,94
2018-06-23,19.0,56.9,100
2018-06-24,19.3,9.6,97
2018-06-25,19.2,19.5,97
2018-06-26,19.1,18.4,96
2018-06-27,18.5,23.3,99
2018-06-28,18.4,31.8,99
2018-06-29,18.4,105.1,100
2018-06-30,19.0,13.5,98
2018-07-01,19.7,2.0,91
2018-07-02,19.5,8.1,95
2018-07-03,19.1,4.8,94
2018-07-04,19.3,9.4,94
2018-07-05,19.2,10.1,93
2018-07-06,18.6,22.7,100
2018-07-07,18.7,22.8,98
2018-07-08,18.7,35.4,99
2018-07-09,19.1,35.1,98
2018-07-10,18.8,46.5,99
2018-07-11,18.6,39.0,99
2018-07-12,18.9,31.5,97
2018-07-13,18.5,43.4,100
2018-07-14,18.8,50.9,99
2018-07-15,19.0,59.0,99
2018-07-16,19.1,48.2,99
2018-07-17,18.6,54.8,99
2018-07-18,18.7,27.8,98
2018-07-19,18.5,28.1,99
2018-07-20,18.4,34.3,100
2018-07-21,18.6,43.1,99
2018-07-22,18.5,34.1,99
2018-07-23,18.6,44.9,99
2018-07-24,18.7,24.1,97
2018-07-25,19.0,14.6,97
2018-07-26,19.4,12.7,94
2018-07-27,19.1,9.5,95
2018-07-28,19.4,8.4,95
2018-07-29,19.5,6.2,95
2018-07-30,19.7,10.8,95
2018-07-31,18.7,12.8,97
2018-08-01,18.9,9.6,96
2018-08-02,19.3,9.2,93
2018-08-03,18.7,8.0,95
2018-08-04,18.7,6.1,94
2018-08-05,18.7,11.0,95
2018-08-06,18.4,21.5,97
2018-08-07,18.1,23.6,99
2018-08-08,18.2,26.2,99
2018-08-09,18.3,16.9,96
2018-08-10,18.5,18.3,97
2018-08-11,17.9,21.1,99
2018-08-12,17.7,53.4,99
2018-08-13,18.3,41.0,98
2018-08-14,18.6,61.2,99
2018-08-15,18.4,56.3,100
2018-08-16,18.1,83.7,100
2018-08-17,18.4,68.5,99
2018-08-18,18.3,45.7,97
2018-08-19,18.0,34.8,100
2018-08-20,18.0,20.8,98
2018-08-21,18.5,16.2,94
